"","key","value","x","country","region"
"255","social_distancing_encouraged",2020-03-16,3,"France","Oise"
"256","schools_universities",2020-03-14,4.3,"France","Orne"
"257","self_isolating_if_ill",2020-03-16,4.3,"France","Orne"
"258","public_events",2020-03-13,4.3,"France","Orne"
"259","lockdown",2020-03-17,4.3,"France","Orne"
"260","social_distancing_encouraged",2020-03-16,4,"France","Orne"
"261","schools_universities",2020-03-14,5.3,"France","Pas-de-Calais"
"262","self_isolating_if_ill",2020-03-16,5.3,"France","Pas-de-Calais"
"263","public_events",2020-03-13,5.3,"France","Pas-de-Calais"
"264","lockdown",2020-03-17,5.3,"France","Pas-de-Calais"
"265","social_distancing_encouraged",2020-03-16,5,"France","Pas-de-Calais"
"266","schools_universities",2020-03-14,5.3,"France","Puy-de-Dôme"
"267","self_isolating_if_ill",2020-03-16,5.3,"France","Puy-de-Dôme"
"268","public_events",2020-03-13,5.3,"France","Puy-de-Dôme"
"269","lockdown",2020-03-17,5.3,"France","Puy-de-Dôme"
"270","social_distancing_encouraged",2020-03-16,5,"France","Puy-de-Dôme"
"271","schools_universities",2020-03-14,4.3,"France","Pyrénées-Atlantiques"
"272","self_isolating_if_ill",2020-03-16,4.3,"France","Pyrénées-Atlantiques"
"273","public_events",2020-03-13,4.3,"France","Pyrénées-Atlantiques"
"274","lockdown",2020-03-17,4.3,"France","Pyrénées-Atlantiques"
"275","social_distancing_encouraged",2020-03-16,4,"France","Pyrénées-Atlantiques"
"276","schools_universities",2020-03-14,5.3,"France","Hautes-Pyrénées"
"277","self_isolating_if_ill",2020-03-16,5.3,"France","Hautes-Pyrénées"
"278","public_events",2020-03-13,5.3,"France","Hautes-Pyrénées"
"279","lockdown",2020-03-17,5.3,"France","Hautes-Pyrénées"
"280","social_distancing_encouraged",2020-03-16,5,"France","Hautes-Pyrénées"
"281","schools_universities",2020-03-14,4.3,"France","Pyrénées-Orientales"
"282","self_isolating_if_ill",2020-03-16,4.3,"France","Pyrénées-Orientales"
"283","public_events",2020-03-13,4.3,"France","Pyrénées-Orientales"
"284","lockdown",2020-03-17,4.3,"France","Pyrénées-Orientales"
"285","social_distancing_encouraged",2020-03-16,4,"France","Pyrénées-Orientales"
"286","schools_universities",2020-03-14,3.3,"France","Bas-Rhin"
"287","self_isolating_if_ill",2020-03-16,3.3,"France","Bas-Rhin"
"288","public_events",2020-03-13,3.3,"France","Bas-Rhin"
"289","lockdown",2020-03-17,3.3,"France","Bas-Rhin"
"290","social_distancing_encouraged",2020-03-16,3,"France","Bas-Rhin"
"291","schools_universities",2020-03-14,2.3,"France","Haut-Rhin"
"292","self_isolating_if_ill",2020-03-16,2.3,"France","Haut-Rhin"
"293","public_events",2020-03-13,2.3,"France","Haut-Rhin"
"294","lockdown",2020-03-17,2.3,"France","Haut-Rhin"
"295","social_distancing_encouraged",2020-03-16,2,"France","Haut-Rhin"
"296","schools_universities",2020-03-14,4.3,"France","Rhône"
"297","self_isolating_if_ill",2020-03-16,4.3,"France","Rhône"
"298","public_events",2020-03-13,4.3,"France","Rhône"
"299","lockdown",2020-03-17,4.3,"France","Rhône"
"300","social_distancing_encouraged",2020-03-16,4,"France","Rhône"
"301","schools_universities",2020-03-14,3.3,"France","Haute-Saône"
"302","self_isolating_if_ill",2020-03-16,3.3,"France","Haute-Saône"
"303","public_events",2020-03-13,3.3,"France","Haute-Saône"
"304","lockdown",2020-03-17,3.3,"France","Haute-Saône"
"305","social_distancing_encouraged",2020-03-16,3,"France","Haute-Saône"
"306","schools_universities",2020-03-14,4.3,"France","Saône-et-Loire"
"307","self_isolating_if_ill",2020-03-16,4.3,"France","Saône-et-Loire"
"308","public_events",2020-03-13,4.3,"France","Saône-et-Loire"
"309","lockdown",2020-03-17,4.3,"France","Saône-et-Loire"
"310","social_distancing_encouraged",2020-03-16,4,"France","Saône-et-Loire"
"311","schools_universities",2020-03-14,5.3,"France","Sarthe"
"312","self_isolating_if_ill",2020-03-16,5.3,"France","Sarthe"
"313","public_events",2020-03-13,5.3,"France","Sarthe"
"314","lockdown",2020-03-17,5.3,"France","Sarthe"
"315","social_distancing_encouraged",2020-03-16,5,"France","Sarthe"
"316","schools_universities",2020-03-14,4.3,"France","Savoie"
"317","self_isolating_if_ill",2020-03-16,4.3,"France","Savoie"
"318","public_events",2020-03-13,4.3,"France","Savoie"
"319","lockdown",2020-03-17,4.3,"France","Savoie"
"320","social_distancing_encouraged",2020-03-16,4,"France","Savoie"
"321","schools_universities",2020-03-14,4.3,"France","Haute-Savoie"
"322","self_isolating_if_ill",2020-03-16,4.3,"France","Haute-Savoie"
"323","public_events",2020-03-13,4.3,"France","Haute-Savoie"
"324","lockdown",2020-03-17,4.3,"France","Haute-Savoie"
"325","social_distancing_encouraged",2020-03-16,4,"France","Haute-Savoie"
"326","schools_universities",2020-03-14,4.3,"France","Paris"
"327","self_isolating_if_ill",2020-03-16,4.3,"France","Paris"
"328","public_events",2020-03-13,4.3,"France","Paris"
"329","lockdown",2020-03-17,4.3,"France","Paris"
"330","social_distancing_encouraged",2020-03-16,4,"France","Paris"
"331","schools_universities",2020-03-14,4.3,"France","Seine-Maritime"
"332","self_isolating_if_ill",2020-03-16,4.3,"France","Seine-Maritime"
"333","public_events",2020-03-13,4.3,"France","Seine-Maritime"
"334","lockdown",2020-03-17,4.3,"France","Seine-Maritime"
"335","social_distancing_encouraged",2020-03-16,4,"France","Seine-Maritime"
"336","schools_universities",2020-03-14,5.3,"France","Seine-et-Marne"
"337","self_isolating_if_ill",2020-03-16,5.3,"France","Seine-et-Marne"
"338","public_events",2020-03-13,5.3,"France","Seine-et-Marne"
"339","lockdown",2020-03-17,5.3,"France","Seine-et-Marne"
"340","social_distancing_encouraged",2020-03-16,5,"France","Seine-et-Marne"
"341","schools_universities",2020-03-14,4.3,"France","Yvelines"
"342","self_isolating_if_ill",2020-03-16,4.3,"France","Yvelines"
"343","public_events",2020-03-13,4.3,"France","Yvelines"
"344","lockdown",2020-03-17,4.3,"France","Yvelines"
"345","social_distancing_encouraged",2020-03-16,4,"France","Yvelines"
"346","schools_universities",2020-03-14,5.3,"France","Deux-Sèvres"
"347","self_isolating_if_ill",2020-03-16,5.3,"France","Deux-Sèvres"
"348","public_events",2020-03-13,5.3,"France","Deux-Sèvres"
"349","lockdown",2020-03-17,5.3,"France","Deux-Sèvres"
"350","social_distancing_encouraged",2020-03-16,5,"France","Deux-Sèvres"
"351","schools_universities",2020-03-14,3.3,"France","Somme"
"352","self_isolating_if_ill",2020-03-16,3.3,"France","Somme"
"353","public_events",2020-03-13,3.3,"France","Somme"
"354","lockdown",2020-03-17,3.3,"France","Somme"
"355","social_distancing_encouraged",2020-03-16,3,"France","Somme"
"356","schools_universities",2020-03-14,5.3,"France","Tarn"
"357","self_isolating_if_ill",2020-03-16,5.3,"France","Tarn"
"358","public_events",2020-03-13,5.3,"France","Tarn"
"359","lockdown",2020-03-17,5.3,"France","Tarn"
"360","social_distancing_encouraged",2020-03-16,5,"France","Tarn"
"361","schools_universities",2020-03-14,5.3,"France","Var"
"362","self_isolating_if_ill",2020-03-16,5.3,"France","Var"
"363","public_events",2020-03-13,5.3,"France","Var"
"364","lockdown",2020-03-17,5.3,"France","Var"
"365","social_distancing_encouraged",2020-03-16,5,"France","Var"
"366","schools_universities",2020-03-14,4.3,"France","Vaucluse"
"367","self_isolating_if_ill",2020-03-16,4.3,"France","Vaucluse"
"368","public_events",2020-03-13,4.3,"France","Vaucluse"
"369","lockdown",2020-03-17,4.3,"France","Vaucluse"
"370","social_distancing_encouraged",2020-03-16,4,"France","Vaucluse"
"371","schools_universities",2020-03-14,4.3,"France","Vendée"
"372","self_isolating_if_ill",2020-03-16,4.3,"France","Vendée"
"373","public_events",2020-03-13,4.3,"France","Vendée"
"374","lockdown",2020-03-17,4.3,"France","Vendée"
"375","social_distancing_encouraged",2020-03-16,4,"France","Vendée"
"376","schools_universities",2020-03-14,4.3,"France","Vienne"
"377","self_isolating_if_ill",2020-03-16,4.3,"France","Vienne"
"378","public_events",2020-03-13,4.3,"France","Vienne"
"379","lockdown",2020-03-17,4.3,"France","Vienne"
"380","social_distancing_encouraged",2020-03-16,4,"France","Vienne"
"381","schools_universities",2020-03-14,5.3,"France","Haute-Vienne"
"382","self_isolating_if_ill",2020-03-16,5.3,"France","Haute-Vienne"
"383","public_events",2020-03-13,5.3,"France","Haute-Vienne"
"384","lockdown",2020-03-17,5.3,"France","Haute-Vienne"
"385","social_distancing_encouraged",2020-03-16,5,"France","Haute-Vienne"
"386","schools_universities",2020-03-14,3.3,"France","Vosges"
"387","self_isolating_if_ill",2020-03-16,3.3,"France","Vosges"
"388","public_events",2020-03-13,3.3,"France","Vosges"
"389","lockdown",2020-03-17,3.3,"France","Vosges"
"390","social_distancing_encouraged",2020-03-16,3,"France","Vosges"
"391","schools_universities",2020-03-14,5.3,"France","Yonne"
